age,sex,body_type,height,job,lives_in_san_francisco,religious,sign,age_grouped
34,m,fit,69.0,executive / management,True,True,unknown,30.0
32,f,average,64.0,science / tech / engineering,True,False,pisces,30.0
30,m,athletic,73.0,science / tech / engineering,True,False,gemini,30.0
28,m,average,68.0,not specified,False,True,scorpio,25.0
40,f,fit,66.0,not specified,True,False,taurus,40.0
27,f,a little extra,61.0,sales / marketing / biz dev,True,False,aries,25.0
43,m,a little extra,71.0,law / legal services,False,False,unknown,40.0
37,f,average,64.0,not specified,True,False,unknown,35.0
24,m,average,74.0,sales / marketing / biz dev,True,False,cancer,20.0
29,m,rather not say,74.0,science / tech / engineering,False,True,scorpio,25.0
29,f,a little extra,67.0,medicine / health,False,False,capricorn,25.0
28,m,fit,69.0,computer / hardware / software,True,False,leo,25.0
29,m,fit,67.0,artistic / musical / writer,True,True,libra,25.0
25,m,athletic,78.0,sales / marketing / biz dev,True,True,aries,25.0
34,m,skinny,75.0,hospitality / travel,True,False,aries,30.0
39,m,fit,70.0,other,True,True,unknown,35.0
31,f,curvy,66.0,executive / management,True,True,pisces,30.0
46,m,average,72.0,construction / craftsmanship,False,True,taurus,45.0
38,m,thin,71.0,education / academia,True,False,aquarius,35.0
30,m,fit,68.0,banking / financial / real estate,False,False,unknown,30.0
41,m,athletic,69.0,education / academia,False,True,libra,40.0
39,m,athletic,70.0,computer / hardware / software,True,True,leo,35.0
31,f,thin,63.0,other,True,False,scorpio,30.0
42,f,fit,65.0,education / academia,False,True,aries,40.0
45,f,fit,64.0,executive / management,False,True,aries,45.0
21,m,athletic,72.0,medicine / health,False,False,aries,20.0
28,f,rather not say,64.0,law / legal services,True,False,aries,25.0
29,m,fit,66.0,other,False,True,unknown,25.0
36,m,average,68.0,education / academia,True,False,virgo,35.0
28,m,athletic,71.0,education / academia,False,True,unknown,25.0
24,m,athletic,74.0,not specified,False,False,unknown,20.0
23,f,curvy,66.0,other,True,False,capricorn,20.0
36,m,fit,70.0,science / tech / engineering,False,True,aries,35.0
35,m,thin,72.0,not specified,False,True,aquarius,35.0
18,m,rather not say,68.0,not specified,False,False,unknown,15.0
55,m,athletic,67.0,construction / craftsmanship,False,False,leo,55.0
21,f,average,65.0,not specified,True,False,capricorn,20.0
28,f,thin,66.0,student,False,False,scorpio,25.0
24,m,average,71.0,computer / hardware / software,True,True,aquarius,20.0
50,m,fit,75.0,unemployed,False,True,gemini,50.0
23,m,athletic,66.0,artistic / musical / writer,True,False,cancer,20.0
21,m,thin,70.0,medicine / health,True,True,sagittarius,20.0
27,f,curvy,62.0,medicine / health,True,False,aries,25.0
27,m,fit,68.0,science / tech / engineering,True,True,unknown,25.0
43,m,average,73.0,science / tech / engineering,False,False,virgo,40.0
27,m,fit,68.0,other,True,True,unknown,25.0
26,m,average,71.0,computer / hardware / software,True,True,libra,25.0
26,m,average,66.0,computer / hardware / software,False,True,unknown,25.0
30,m,rather not say,69.0,not specified,True,True,gemini,30.0
32,f,curvy,68.0,not specified,False,False,leo,30.0
43,f,curvy,68.0,artistic / musical / writer,True,False,libra,40.0
39,f,average,68.0,education / academia,True,False,unknown,35.0
22,m,athletic,68.0,student,False,True,unknown,20.0
33,f,athletic,67.0,hospitality / travel,True,False,libra,30.0
24,m,thin,75.0,not specified,False,True,sagittarius,20.0
50,m,average,73.0,transportation,False,False,libra,50.0
32,m,average,67.0,science / tech / engineering,False,False,cancer,30.0
23,m,athletic,73.0,military,False,False,unknown,20.0
32,f,fit,62.0,other,True,True,pisces,30.0
59,m,fit,73.0,other,False,False,libra,55.0
36,m,fit,73.0,construction / craftsmanship,False,False,taurus,35.0
29,m,athletic,74.0,not specified,False,True,unknown,25.0
39,f,fit,63.0,not specified,False,False,leo,35.0
24,m,skinny,67.0,computer / hardware / software,True,True,scorpio,20.0
28,m,average,70.0,not specified,False,True,sagittarius,25.0
50,m,athletic,66.0,construction / craftsmanship,False,False,unknown,50.0
32,f,fit,64.0,student,False,True,unknown,30.0
41,f,fit,67.0,transportation,False,False,cancer,40.0
50,f,skinny,63.0,education / academia,True,True,cancer,50.0
44,m,rather not say,68.0,computer / hardware / software,True,True,leo,40.0
48,m,average,68.0,artistic / musical / writer,False,False,aquarius,45.0
24,m,skinny,75.0,not specified,False,False,leo,20.0
26,m,fit,73.0,sales / marketing / biz dev,False,False,virgo,25.0
29,f,thin,61.0,hospitality / travel,False,True,scorpio,25.0
40,f,full figured,62.0,executive / management,False,True,unknown,40.0
29,f,average,68.0,law / legal services,True,True,leo,25.0
54,f,full figured,69.0,education / academia,False,False,scorpio,50.0
20,f,fit,63.0,not specified,False,True,unknown,20.0
51,f,average,62.0,not specified,False,True,virgo,50.0
33,f,average,66.0,medicine / health,False,False,sagittarius,30.0
28,m,rather not say,66.0,sales / marketing / biz dev,True,False,unknown,25.0
37,f,athletic,66.0,medicine / health,True,False,virgo,35.0
20,m,thin,72.0,student,False,True,libra,20.0
30,m,rather not say,74.0,computer / hardware / software,True,False,leo,30.0
36,m,fit,72.0,not specified,True,False,pisces,35.0
26,f,curvy,63.0,sales / marketing / biz dev,False,True,gemini,25.0
26,f,fit,68.0,science / tech / engineering,True,True,sagittarius,25.0
33,f,thin,66.0,not specified,False,False,unknown,30.0
20,f,average,66.0,student,True,False,leo,20.0
31,m,fit,70.0,other,False,False,sagittarius,30.0
62,m,fit,73.0,executive / management,False,True,unknown,60.0
33,f,fit,63.0,artistic / musical / writer,True,True,aquarius,30.0
22,m,a little extra,69.0,other,False,False,aries,20.0
46,m,fit,66.0,medicine / health,True,False,sagittarius,45.0
27,m,athletic,68.0,computer / hardware / software,False,True,virgo,25.0
29,m,a little extra,72.0,artistic / musical / writer,True,True,cancer,25.0
36,f,average,68.0,not specified,False,False,taurus,35.0
25,m,a little extra,71.0,computer / hardware / software,False,True,unknown,25.0
32,m,fit,69.0,sales / marketing / biz dev,False,True,aquarius,30.0
21,f,fit,66.0,sales / marketing / biz dev,False,True,aries,20.0
27,f,curvy,68.0,sales / marketing / biz dev,True,True,leo,25.0
38,m,jacked,70.0,other,False,False,scorpio,35.0
27,m,average,74.0,education / academia,False,False,unknown,25.0
44,f,fit,63.0,education / academia,False,True,virgo,40.0
52,f,fit,66.0,law / legal services,True,True,aquarius,50.0
33,f,athletic,60.0,education / academia,True,False,taurus,30.0
28,f,athletic,67.0,law / legal services,True,True,taurus,25.0
37,m,fit,79.0,entertainment / media,True,True,virgo,35.0
28,f,thin,61.0,science / tech / engineering,False,True,unknown,25.0
32,m,average,69.0,entertainment / media,False,True,cancer,30.0
29,f,full figured,69.0,other,False,True,virgo,25.0
31,m,rather not say,67.0,artistic / musical / writer,False,True,taurus,30.0
42,m,fit,71.0,education / academia,False,False,scorpio,40.0
32,f,a little extra,63.0,education / academia,True,True,capricorn,30.0
28,m,athletic,67.0,banking / financial / real estate,True,False,aquarius,25.0
38,f,athletic,63.0,banking / financial / real estate,True,True,unknown,35.0
27,f,rather not say,64.0,medicine / health,True,True,unknown,25.0
19,f,curvy,62.0,not specified,False,False,leo,15.0
27,f,fit,65.0,medicine / health,False,True,aquarius,25.0
28,m,fit,67.0,computer / hardware / software,True,False,gemini,25.0
29,f,fit,66.0,education / academia,False,False,sagittarius,25.0
31,f,fit,63.0,student,False,True,gemini,30.0
27,f,thin,63.0,not specified,True,True,virgo,25.0
43,f,curvy,69.0,political / government,False,True,virgo,40.0
43,m,skinny,71.0,not specified,True,True,taurus,40.0
24,f,fit,69.0,other,False,True,pisces,20.0
34,f,fit,67.0,student,True,True,scorpio,30.0
30,f,thin,66.0,rather not say,False,True,gemini,30.0
59,f,a little extra,62.0,medicine / health,False,True,unknown,55.0
33,m,average,72.0,science / tech / engineering,True,True,leo,30.0
41,m,average,69.0,law / legal services,True,False,capricorn,40.0
58,m,thin,69.0,law / legal services,False,True,gemini,55.0
24,f,thin,59.0,artistic / musical / writer,False,False,unknown,20.0
39,m,average,74.0,science / tech / engineering,False,True,unknown,35.0
33,m,athletic,70.0,construction / craftsmanship,False,True,cancer,30.0
43,f,thin,65.0,banking / financial / real estate,True,True,virgo,40.0
29,m,average,70.0,artistic / musical / writer,False,False,aries,25.0
28,f,average,66.0,banking / financial / real estate,True,False,unknown,25.0
21,m,a little extra,70.0,not specified,False,False,pisces,20.0
35,f,fit,64.0,medicine / health,False,True,pisces,35.0
32,m,athletic,69.0,artistic / musical / writer,True,False,gemini,30.0
42,f,athletic,63.0,medicine / health,False,True,aries,40.0
23,f,a little extra,62.0,artistic / musical / writer,False,False,sagittarius,20.0
30,f,average,68.0,other,False,True,virgo,30.0
27,m,fit,71.0,not specified,True,False,gemini,25.0
41,f,athletic,71.0,education / academia,True,False,aquarius,40.0
33,m,a little extra,69.0,sales / marketing / biz dev,True,True,virgo,30.0
58,f,athletic,70.0,education / academia,False,True,cancer,55.0
26,m,rather not say,72.0,not specified,True,True,scorpio,25.0
50,f,thin,66.0,sales / marketing / biz dev,False,True,leo,50.0
45,f,athletic,65.0,science / tech / engineering,False,False,unknown,45.0
66,f,fit,65.0,retired,False,True,pisces,65.0
33,m,average,68.0,other,False,True,leo,30.0
32,m,a little extra,68.0,computer / hardware / software,False,False,scorpio,30.0
53,f,fit,62.0,education / academia,False,True,pisces,50.0
28,m,average,72.0,not specified,False,True,libra,25.0
22,f,average,63.0,other,True,False,taurus,20.0
19,m,average,73.0,student,False,True,aquarius,15.0
35,m,average,67.0,entertainment / media,True,True,scorpio,35.0
51,f,rather not say,65.0,not specified,False,False,virgo,50.0
30,m,average,69.0,medicine / health,False,True,aries,30.0
29,m,fit,80.0,other,False,True,leo,25.0
32,f,fit,61.0,artistic / musical / writer,True,False,virgo,30.0
45,f,full figured,63.0,computer / hardware / software,False,True,scorpio,45.0
28,m,athletic,73.0,student,False,False,leo,25.0
36,f,average,63.0,medicine / health,True,True,gemini,35.0
40,m,a little extra,71.0,executive / management,False,True,taurus,40.0
34,f,average,62.0,other,False,True,gemini,30.0
24,f,full figured,68.0,not specified,False,False,leo,20.0
39,m,thin,72.0,entertainment / media,True,False,libra,35.0
33,f,athletic,65.0,medicine / health,False,True,aquarius,30.0
26,f,curvy,67.0,not specified,True,False,capricorn,25.0
36,m,fit,67.0,artistic / musical / writer,False,True,capricorn,35.0
46,m,fit,68.0,other,False,True,gemini,45.0
21,m,average,67.0,not specified,False,False,unknown,20.0
63,f,thin,67.0,sales / marketing / biz dev,True,False,unknown,60.0
30,f,average,62.0,other,False,True,gemini,30.0
50,f,average,63.0,medicine / health,False,False,pisces,50.0
50,f,average,64.0,education / academia,False,False,leo,50.0
34,m,average,72.0,other,False,False,aries,30.0
40,f,average,62.0,education / academia,False,True,aquarius,40.0
46,f,thin,66.0,law / legal services,True,True,pisces,45.0
41,m,athletic,67.0,other,False,True,pisces,40.0
29,f,athletic,62.0,other,False,True,taurus,25.0
53,f,average,69.0,clerical / administrative,False,True,libra,50.0
39,m,fit,69.0,science / tech / engineering,False,False,cancer,35.0
39,f,curvy,64.0,not specified,True,False,unknown,35.0
24,f,rather not say,62.0,not specified,True,True,gemini,20.0
26,m,athletic,70.0,science / tech / engineering,True,False,virgo,25.0
25,f,rather not say,64.0,other,False,False,leo,25.0
59,f,thin,63.0,other,False,True,virgo,55.0
28,f,curvy,67.0,law / legal services,True,True,capricorn,25.0
29,m,fit,68.0,medicine / health,True,True,leo,25.0
35,m,average,67.0,science / tech / engineering,False,True,pisces,35.0
25,f,rather not say,65.0,not specified,False,False,taurus,25.0
36,f,athletic,67.0,medicine / health,True,True,unknown,35.0
42,f,fit,64.0,other,False,True,aquarius,40.0
25,f,athletic,71.0,not specified,False,False,unknown,25.0
27,m,athletic,80.0,other,False,False,taurus,25.0
45,f,average,60.0,sales / marketing / biz dev,False,False,libra,45.0
37,m,fit,71.0,sales / marketing / biz dev,False,False,aries,35.0
47,m,average,69.0,construction / craftsmanship,True,True,aries,45.0
24,f,curvy,67.0,not specified,False,True,pisces,20.0
53,f,a little extra,64.0,not specified,False,False,cancer,50.0
26,f,rather not say,62.0,not specified,True,False,aries,25.0
49,f,average,63.0,computer / hardware / software,False,True,taurus,45.0
24,f,average,61.0,not specified,True,False,sagittarius,20.0
19,m,athletic,69.0,not specified,False,False,unknown,15.0
26,m,curvy,76.0,other,False,True,gemini,25.0
30,m,athletic,70.0,banking / financial / real estate,True,False,taurus,30.0
26,m,athletic,72.0,science / tech / engineering,True,True,aquarius,25.0
36,f,fit,63.0,other,False,False,unknown,35.0
24,m,athletic,69.0,medicine / health,False,False,cancer,20.0
47,m,average,72.0,not specified,False,False,unknown,45.0
51,m,fit,70.0,executive / management,False,True,leo,50.0
28,m,athletic,73.0,medicine / health,True,False,leo,25.0
48,f,average,62.0,other,True,True,taurus,45.0
37,f,a little extra,62.0,law / legal services,False,False,scorpio,35.0
47,m,fit,72.0,construction / craftsmanship,False,True,pisces,45.0
34,f,curvy,66.0,education / academia,False,False,virgo,30.0
37,f,fit,65.0,other,True,True,virgo,35.0
25,m,fit,70.0,sales / marketing / biz dev,True,False,taurus,25.0
32,m,athletic,71.0,sales / marketing / biz dev,True,True,leo,30.0
42,f,fit,71.0,artistic / musical / writer,False,True,libra,40.0
33,f,average,64.0,education / academia,False,True,scorpio,30.0
34,f,fit,63.0,law / legal services,True,False,unknown,30.0
42,m,average,75.0,artistic / musical / writer,True,False,libra,40.0
29,m,fit,70.0,education / academia,False,False,aquarius,25.0
55,m,average,73.0,computer / hardware / software,False,True,scorpio,55.0
32,m,rather not say,68.0,other,True,False,virgo,30.0
25,m,fit,69.0,sales / marketing / biz dev,False,True,leo,25.0
31,f,average,64.0,other,False,False,scorpio,30.0
45,m,athletic,68.0,entertainment / media,True,True,aries,45.0
39,f,thin,68.0,science / tech / engineering,False,True,unknown,35.0
50,m,athletic,74.0,computer / hardware / software,False,False,gemini,50.0
29,f,curvy,61.0,not specified,False,True,libra,25.0
50,f,average,66.0,computer / hardware / software,False,False,leo,50.0
43,f,thin,62.0,medicine / health,True,False,virgo,40.0
63,f,a little extra,67.0,education / academia,False,False,pisces,60.0
35,m,fit,72.0,computer / hardware / software,False,False,libra,35.0
19,f,average,67.0,student,True,True,gemini,15.0
62,f,thin,64.0,artistic / musical / writer,False,False,unknown,60.0
44,f,fit,68.0,medicine / health,True,False,pisces,40.0
30,f,fit,63.0,medicine / health,True,False,unknown,30.0
24,m,athletic,69.0,science / tech / engineering,True,False,unknown,20.0
40,f,curvy,68.0,not specified,True,True,pisces,40.0
63,f,average,65.0,banking / financial / real estate,False,True,leo,60.0
45,m,athletic,66.0,construction / craftsmanship,True,False,virgo,45.0
53,f,average,62.0,law / legal services,False,True,aries,50.0
36,m,rather not say,72.0,entertainment / media,True,True,libra,35.0
22,m,athletic,70.0,not specified,True,False,unknown,20.0
19,m,athletic,69.0,student,False,True,unknown,15.0
32,f,rather not say,64.0,not specified,True,True,unknown,30.0
61,f,average,63.0,retired,False,True,capricorn,60.0
20,f,rather not say,60.0,medicine / health,False,True,virgo,20.0
34,f,athletic,65.0,sales / marketing / biz dev,True,True,leo,30.0
34,f,athletic,67.0,executive / management,True,True,taurus,30.0
36,m,thin,72.0,medicine / health,True,False,scorpio,35.0
29,m,fit,71.0,entertainment / media,True,False,leo,25.0
30,m,athletic,73.0,science / tech / engineering,False,False,gemini,30.0
40,m,rather not say,68.0,computer / hardware / software,False,True,cancer,40.0
28,f,athletic,62.0,law / legal services,True,True,pisces,25.0
20,m,average,69.0,other,False,True,cancer,20.0
40,m,jacked,71.0,other,True,True,gemini,40.0
43,f,fit,66.0,not specified,False,False,virgo,40.0
19,m,a little extra,72.0,student,False,True,aquarius,15.0
60,m,athletic,68.0,other,False,False,unknown,60.0
66,m,average,73.0,medicine / health,False,True,taurus,65.0
39,m,athletic,67.0,other,True,True,cancer,35.0
28,m,skinny,75.0,sales / marketing / biz dev,False,True,leo,25.0
34,m,fit,74.0,education / academia,False,True,libra,30.0
32,m,average,74.0,student,False,True,libra,30.0
34,f,curvy,68.0,artistic / musical / writer,False,True,cancer,30.0
29,f,fit,64.0,not specified,True,False,unknown,25.0
26,m,fit,75.0,science / tech / engineering,True,True,aries,25.0
43,f,curvy,63.0,law / legal services,False,False,aquarius,40.0
44,f,average,65.0,computer / hardware / software,True,False,libra,40.0
32,m,athletic,72.0,other,False,False,taurus,30.0
37,f,curvy,68.0,not specified,False,False,capricorn,35.0
30,f,skinny,69.0,other,False,False,libra,30.0
26,m,average,73.0,computer / hardware / software,True,True,taurus,25.0
23,m,athletic,70.0,other,True,False,leo,20.0
31,m,athletic,69.0,not specified,False,True,virgo,30.0
34,m,average,73.0,computer / hardware / software,True,False,cancer,30.0
48,m,fit,69.0,education / academia,False,False,unknown,45.0
35,m,skinny,71.0,science / tech / engineering,False,True,leo,35.0
25,m,rather not say,73.0,sales / marketing / biz dev,True,False,unknown,25.0
27,f,average,63.0,science / tech / engineering,False,False,sagittarius,25.0
27,m,athletic,67.0,sales / marketing / biz dev,True,True,unknown,25.0
22,f,average,64.0,education / academia,True,False,gemini,20.0
35,m,average,71.0,other,False,True,gemini,35.0
26,m,rather not say,72.0,not specified,True,False,unknown,25.0
32,m,a little extra,74.0,computer / hardware / software,False,True,sagittarius,30.0
32,m,average,72.0,other,False,False,pisces,30.0
23,m,thin,71.0,other,True,True,taurus,20.0
40,f,average,64.0,construction / craftsmanship,True,False,scorpio,40.0
47,f,athletic,66.0,executive / management,True,True,pisces,45.0
31,m,athletic,74.0,education / academia,False,False,libra,30.0
30,m,athletic,68.0,not specified,False,False,unknown,30.0
25,f,fit,70.0,student,True,False,aquarius,25.0
33,m,thin,68.0,clerical / administrative,False,True,unknown,30.0
54,m,athletic,76.0,computer / hardware / software,True,False,scorpio,50.0
30,m,athletic,72.0,student,True,True,gemini,30.0
45,m,athletic,70.0,executive / management,True,True,unknown,45.0
30,m,athletic,67.0,other,False,False,unknown,30.0
49,m,athletic,64.0,artistic / musical / writer,True,True,leo,45.0
32,m,average,68.0,not specified,False,True,leo,30.0
24,f,fit,66.0,student,True,True,sagittarius,20.0
57,m,athletic,69.0,retired,False,True,leo,55.0
41,m,skinny,72.0,science / tech / engineering,False,True,aries,40.0
37,f,a little extra,61.0,executive / management,False,True,aquarius,35.0
35,m,fit,74.0,science / tech / engineering,True,True,unknown,35.0
40,f,fit,64.0,other,False,False,sagittarius,40.0
50,f,fit,66.0,medicine / health,False,False,capricorn,50.0
40,m,fit,73.0,law / legal services,True,False,gemini,40.0
37,m,fit,76.0,medicine / health,False,False,cancer,35.0
60,m,fit,71.0,banking / financial / real estate,True,True,libra,60.0
47,m,fit,69.0,not specified,True,False,capricorn,45.0
29,m,athletic,71.0,sales / marketing / biz dev,False,False,unknown,25.0
29,m,athletic,71.0,education / academia,True,False,cancer,25.0
22,f,jacked,91.0,sales / marketing / biz dev,True,False,unknown,20.0
44,m,rather not say,74.0,education / academia,False,True,gemini,40.0
57,f,average,62.0,other,False,False,libra,55.0
43,f,curvy,67.0,banking / financial / real estate,False,True,cancer,40.0
20,f,average,62.0,computer / hardware / software,False,False,libra,20.0
29,m,skinny,71.0,artistic / musical / writer,True,False,unknown,25.0
30,m,rather not say,70.0,computer / hardware / software,False,True,capricorn,30.0
25,m,athletic,72.0,science / tech / engineering,False,False,unknown,25.0
39,m,fit,72.0,science / tech / engineering,False,False,libra,35.0
41,f,thin,64.0,clerical / administrative,False,True,taurus,40.0
30,m,fit,72.0,other,False,False,gemini,30.0
23,m,fit,68.0,artistic / musical / writer,False,True,sagittarius,20.0
49,f,curvy,68.0,other,False,False,virgo,45.0
59,m,average,71.0,science / tech / engineering,False,True,capricorn,55.0
39,m,athletic,66.0,not specified,False,False,aries,35.0
38,m,fit,67.0,rather not say,False,True,cancer,35.0
59,f,fit,68.0,not specified,False,True,sagittarius,55.0
26,f,rather not say,61.0,education / academia,True,True,unknown,25.0
33,f,full figured,73.0,other,True,True,libra,30.0
46,m,rather not say,71.0,computer / hardware / software,True,True,unknown,45.0
36,m,average,71.0,computer / hardware / software,True,True,aries,35.0
40,f,full figured,64.0,medicine / health,False,True,aquarius,40.0
29,m,skinny,72.0,sales / marketing / biz dev,True,True,capricorn,25.0
30,f,thin,67.0,science / tech / engineering,False,True,unknown,30.0
30,f,rather not say,65.0,not specified,True,False,libra,30.0
33,m,a little extra,74.0,not specified,False,True,capricorn,30.0
29,m,athletic,68.0,science / tech / engineering,True,False,libra,25.0
23,f,thin,61.0,not specified,False,False,pisces,20.0
33,m,athletic,71.0,other,True,False,unknown,30.0
28,m,fit,67.0,science / tech / engineering,True,True,taurus,25.0
31,m,used up,65.0,artistic / musical / writer,True,True,virgo,30.0
29,m,a little extra,79.0,student,False,False,pisces,25.0
44,f,a little extra,61.0,computer / hardware / software,False,True,aquarius,40.0
28,f,average,66.0,clerical / administrative,True,True,virgo,25.0
47,m,fit,76.0,construction / craftsmanship,False,True,virgo,45.0
24,m,fit,69.0,science / tech / engineering,False,False,gemini,20.0
28,m,athletic,70.0,computer / hardware / software,True,False,sagittarius,25.0
40,f,average,65.0,medicine / health,False,False,sagittarius,40.0
24,m,fit,72.0,hospitality / travel,True,False,aquarius,20.0
20,m,rather not say,71.0,construction / craftsmanship,False,False,capricorn,20.0
39,m,average,71.0,law / legal services,True,True,libra,35.0
52,f,fit,62.0,rather not say,True,False,aquarius,50.0
39,m,thin,70.0,law / legal services,True,False,unknown,35.0
33,m,thin,72.0,not specified,False,True,taurus,30.0
26,f,average,70.0,education / academia,True,False,cancer,25.0
31,m,rather not say,69.0,hospitality / travel,True,False,unknown,30.0
27,m,fit,71.0,construction / craftsmanship,False,True,unknown,25.0
60,m,fit,70.0,computer / hardware / software,False,True,virgo,60.0
52,f,thin,65.0,education / academia,True,True,aquarius,50.0
42,f,a little extra,64.0,other,False,True,aries,40.0
31,f,overweight,68.0,entertainment / media,False,True,sagittarius,30.0
38,m,athletic,68.0,construction / craftsmanship,False,True,gemini,35.0
26,m,fit,67.0,other,True,False,libra,25.0
32,f,fit,64.0,sales / marketing / biz dev,True,True,scorpio,30.0
40,m,fit,72.0,not specified,False,False,unknown,40.0
32,f,fit,61.0,computer / hardware / software,True,True,unknown,30.0
31,f,fit,64.0,political / government,False,False,pisces,30.0
32,m,athletic,72.0,other,True,True,aries,30.0
22,f,average,64.0,sales / marketing / biz dev,True,True,pisces,20.0
37,m,fit,70.0,medicine / health,True,False,libra,35.0
33,f,athletic,63.0,other,False,True,unknown,30.0
44,m,average,72.0,construction / craftsmanship,True,True,capricorn,40.0
18,m,athletic,66.0,not specified,False,True,unknown,15.0
38,m,average,65.0,not specified,True,False,unknown,35.0
23,f,average,64.0,student,True,True,cancer,20.0
33,f,average,65.0,science / tech / engineering,True,True,sagittarius,30.0
24,f,fit,64.0,entertainment / media,False,True,sagittarius,20.0
32,f,average,64.0,entertainment / media,True,True,taurus,30.0
